DAT,Mean integral radiation,avg_radiation,Mean temperature,Integral temperature (week),plant height,growth length,leaf number,leaf length,leaf width,flower node,fruit node,no,daily produce (kg),daily sales,daily produce (plant/g),month,week
74,1379.0,1024.142857,20.9,141.2083333,121.22,8.66,14.0,24.58,12.4,15.6,15.0,2018_28,0.0,0.0,0.0,10,11.0
81,280.0,1291.714286,19.26666667,144.8916667,132.26,11.04,16.0,23.3,12.62,17.25,16.4,2018_28,0.0,0.0,0.0,11,12.0
88,1132.0,642.0,19.6875,134.8458333,138.38,6.12,17.4,21.16,11.42,18.8,17.8,2018_28,0.0,0.0,0.0,11,13.0
95,298.0,887.2857143,18.50833333,135.0125,146.66,8.28,18.4,21.64,12.24,20.0,18.2,2018_28,0.0,0.0,0.0,11,14.0
102,916.0,840.7142857,19.9875,133.3375,151.4,4.74,19.8,20.88,12.3,20.8,19.6,2018_28,0.0,0.0,0.0,11,15.0
109,1064.0,618.4285714,19.60416667,136.15,156.2,4.8,20.4,21.0,12.14,21.8,20.8,2018_28,20435.0,54308527.0,726.70697011,12,16.0
116,1159.0,785.2857143,19.19166667,132.3208333,161.4,5.2,21.0,17.74,10.92,22.6,21.4,2018_28,820.0,1676988.0,29.160739685000003,12,17.0
122,989.0,900.0,19.43333333,113.9041667,165.66,4.26,22.0,19.38,11.24,24.0,22.4,2018_28,0.0,0.0,0.0,12,17.0
131,1195.0,770.7777778,19.24583333,170.0458333,171.14,5.48,22.2,19.18,10.64,25.0,23.6,2018_28,2400.0,5654012.0,85.3485064,12,19.0
145,936.0,1023.357143,19.125,268.7083333,182.62,11.48,22.0,17.86,9.8,26.0,25.75,2018_28,0.0,0.0,0.0,1,21.0
152,1229.0,866.5714286,22.01666667,136.7166667,189.14,6.52,22.6,17.68,10.06,27.0,26.33333333,2018_28,8550.0,42667720.0,304.05405409,1,22.0
159,1236.0,1142.0,21.67083333,150.6083333,197.26,8.12,24.0,17.32,9.92,27.6,26.5,2018_28,10600.0,56039068.0,376.9559033,1,23.0
165,1074.0,1125.166667,21.325,127.4333333,204.46,7.2,21.6,16.44,9.08,29.0,27.75,2018_28,3000.0,14255475.0,106.685633,1,24.0
174,1186.0,953.5555556,21.1625,186.4041667,211.44,6.98,22.4,17.7,9.56,29.33333333,30.0,2018_28,780.0,3605452.0,27.73826458,2,25.0
181,553.0,1214.428571,19.28333333,149.2583333,221.68,10.24,25.4,19.2,9.94,31.33333333,30.75,2018_28,4005.0,16644867.0,142.42532006,2,26.0
187,1275.0,914.3333333,21.20416667,118.3958333,227.48,5.8,25.0,17.68,10.02,31.8,30.8,2018_28,6075.0,23595892.0,216.03840685,2,27.0
194,921.0,1157.571429,19.90416667,147.1541667,235.74,8.26,25.4,16.92,9.58,32.6,32.66666667,2018_28,5380.0,16756401.0,191.32290186,2,28.0
202,1358.0,955.0,21.42916667,161.7958333,242.62,6.88,25.6,16.3,9.02,32.0,37.0,2018_28,5200.0,14332028.0,184.92176388000001,3,29.0
209,962.0,1288.0,20.4375,148.35,248.9,6.28,28.4,18.3,10.32,36.0,34.8,2018_28,3475.0,8792480.0,123.57752488999999,3,30.0
215,1413.0,1239.5,21.86666667,127.725,256.62,7.72,28.0,19.6,10.48,35.75,36.5,2018_28,4455.0,12766446.0,158.42816501,3,31.0
222,1283.0,1537.0,22.025,153.0291667,264.22,7.6,30.0,18.9,10.4,37.5,35.66666667,2018_28,3125.0,9739580.0,111.13086770999999,3,32.0
230,1605.0,1594.625,22.33333333,175.325,270.94,6.72,30.4,18.64,10.22,38.25,36.75,2018_28,6055.0,18600622.0,215.32716925,4,33.0
237,1475.0,1155.142857,21.48333333,146.0625,275.38,4.44,31.0,18.0,10.16,39.4,38.33333333,2018_28,9170.0,28957532.0,326.102418215,4,34.0
244,920.0,1499.285714,20.75,152.1666667,280.48,5.1,32.2,18.44,10.2,39.75,41.33333333,2018_28,9920.0,26974222.0,352.77382650000004,4,35.0
249,359.0,1219.2,20.8,108.3583333,285.1,4.62,32.6,17.44,10.5,41.0,40.75,2018_28,5775.0,15255431.0,205.3698435,4,36.0
258,1901.0,838.6666667,23.2,186.0958333,290.56,5.46,34.4,15.56,9.28,43.33333333,42.0,2018_28,0.0,0.0,0.0,5,37.0
264,1879.0,1765.0,22.2375,135.7458333,298.5,7.94,35.2,16.22,9.74,43.0,42.8,2018_28,8210.0,17808115.0,291.96301564000004,5,38.0
272,1494.0,1819.25,22.7625,181.7791667,308.08,9.58,34.6,15.68,9.02,44.5,44.75,2018_28,6810.0,17009990.0,242.17638691000002,5,39.0
279,1879.0,1341.857143,23.425,151.2166667,316.6,8.52,36.8,18.34,9.42,45.66666667,45.2,2018_28,6360.0,14652067.0,226.17354201,5,40.0
285,1659.0,1470.5,22.22916667,134.2375,321.12,4.52,36.4,18.44,8.26,45.5,45.5,2018_28,5715.0,11332918.0,203.23613086,5,41.0
293,162.0,1695.25,20.29166667,180.4125,326.82,5.7,36.8,15.18,8.82,46.33333333,47.0,2018_28,6375.0,13229040.0,226.70697013,6,42.0
300,218.0,1482.857143,19.81666667,146.7916667,331.7,4.88,38.4,14.62,8.66,47.75,47.5,2018_28,7770.0,17983736.0,276.3157895,6,43.0
306,1765.0,1074.5,24.09583333,130.5625,337.78,6.08,39.8,15.0,8.7,50.5,49.6,2018_28,5035.0,11617382.0,179.05405405,6,44.0
312,20.0,1852.166667,20.04166667,138.8,343.36,5.58,40.8,15.42,9.0,52.0,50.6,2018_28,9640.0,22054945.0,342.8165007,6,45.0
320,0.0,804.375,24.1,191.1875,349.86,6.5,40.8,13.96,8.12,52.0,51.33333333,2018_28,5535.0,12070587.0,196.83499288000002,7,46.0
48,1909.0,1331.625,22.05416667,175.2208,74.0,0.0,9.25,28.45,13.975,10.25,9.25,2019_31,0.0,0.0,0.0,9,7.0
54,604.0,1150.0,20.63478261,125.3026232,84.525,10.525,11.25,26.575,14.075,11.33333333,10.5,2019_31,0.0,0.0,0.0,9,8.0
61,854.0,1144.285714,24.1,157.7634493,96.025,11.5,12.5,26.5,14.4,13.33333333,12.5,2019_31,0.0,0.0,0.0,9,9.0
68,330.0,848.5714286,20.06086957,159.5239058,103.125,7.1,13.75,22.8,13.7,14.5,13.5,2019_31,0.0,0.0,0.0,10,10.0
75,1481.0,1361.714286,21.32608696,149.1466957,110.575,7.45,15.75,20.55,11.525,16.33333333,14.33333333,2019_31,0.0,0.0,0.0,10,11.0
82,1184.0,978.8571429,21.95416667,147.6082536,117.875,7.3,18.25,17.9,9.1,17.0,17.25,2019_31,0.0,0.0,0.0,10,12.0
89,1235.0,997.4285714,21.25833333,152.3655942,125.575,7.7,19.75,16.925,10.1,18.0,18.25,2019_31,0.0,0.0,0.0,10,13.0
96,1477.0,1196.428571,20.45217391,148.1979565,134.6,9.025,20.75,17.075,9.625,19.5,19.66666667,2019_31,0.0,0.0,0.0,11,14.0
103,1501.0,1695.0,21.14782609,147.7532102,151.725,17.125,20.5,17.725,10.75,21.66666667,20.75,2019_31,9330.0,33755940.0,422.55434779999996,11,15.0
110,1136.0,1522.857143,19.24,144.5563841,161.175,9.45,21.75,17.75,10.45,23.0,21.75,2019_31,4590.0,16606620.0,207.88043483,11,16.0
117,1249.0,1562.428571,18.575,138.6175435,165.475,4.3,21.75,18.45,11.025,23.75,22.5,2019_31,1290.0,4667220.0,58.42391304,11,17.0
124,1520.0,1303.571429,19.24583333,132.462,168.575,3.1,14.5,18.425,11.025,24.75,23.0,2019_31,530.0,1917540.0,24.00362319,12,18.0
131,1626.0,1580.571429,19.7625,135.4528913,171.15,2.575,16.0,18.175,10.225,25.25,23.0,2019_31,3545.0,12825810.0,160.55253623,12,19.0
138,1411.0,1520.714286,20.8826087,144.9118841,176.925,5.775,17.0,17.725,10.125,27.0,25.75,2019_31,3090.0,11179620.0,139.94565218,12,20.0
145,1406.0,1327.857143,19.77083333,137.1346232,182.85,5.925,18.75,14.2,8.375,28.0,27.5,2019_31,1050.0,3798900.0,47.55434783,12,21.0
152,1173.0,1335.5,18.99583333,132.7880962,188.65,5.8,20.5,16.2,9.225,29.0,28.0,2019_31,580.0,2098440.0,26.26811594,12,22.0
168,1722.0,1460.125,20.46,311.4800145,203.325,14.675,18.25,17.8,9.875,30.0,29.5,2019_31,7315.0,26465670.0,331.29528987,1,24.0
173,1573.0,1434.4,20.3375,100.5760145,216.5,13.175,19.5,17.075,9.9,30.75,30.25,2019_31,1090.0,3943620.0,49.36594203,1,25.0
181,1163.0,1258.625,19.168,155.8775652,223.65,7.15,18.5,19.325,10.625,31.5,31.25,2019_31,970.0,3509460.0,43.93115942,1,26.0
188,2002.0,1581.0,20.46521739,141.2690217,229.475,5.825,19.75,19.475,10.85,32.75,32.0,2019_31,1915.0,6928470.0,86.73007246,2,27.0
194,1867.0,1967.0,21.276,123.1561884,236.125,6.65,20.0,18.85,11.025,33.25,31.5,2019_31,375.0,1356750.0,16.98369565,2,28.0
201,2045.0,1733.714286,20.036,144.4890217,243.75,7.625,21.5,18.675,10.425,34.75,34.0,2019_31,1815.0,6566670.0,82.20108696,2,29.0
209,869.0,2196.5,18.34583333,168.3576377,255.3,11.55,23.0,20.3,11.325,36.25,35.5,2019_31,1310.0,4739580.0,59.32971014,2,30.0
217,1898.0,1611.125,21.2375,164.105942,265.375,10.075,23.75,19.175,11.075,37.5,36.5,2019_31,2335.0,8448030.0,105.75181159,3,31.0
223,1561.0,2037.166667,18.796,127.9883308,273.075,7.7,24.5,18.825,10.25,38.5,37.5,2019_31,315.0,1139670.0,14.26630435,3,32.0
230,4389.0,3902.714286,22.076,150.6248478,281.325,8.25,25.25,18.5,9.6,39.5,38.25,2019_31,495.0,1790910.0,22.41847826,3,33.0
236,4762.0,4454.0,22.752,135.9123478,291.55,10.225,25.25,17.8,10.2,40.5,40.5,2019_31,5245.0,18976410.0,237.54528985000002,3,34.0
251,4840.0,4269.6,22.20869565,324.7149493,309.85,18.3,27.0,17.975,10.6,42.75,42.33333333,2019_31,4290.0,15521220.0,194.29347826,4,36.0
257,4296.0,3902.833333,21.4875,124.5988261,313.375,3.525,27.5,17.475,9.725,43.25,42.66666667,2019_31,3115.0,11270070.0,141.07789855,4,37.0
264,4762.0,4031.714286,22.85652174,146.9538623,317.025,3.65,28.25,18.775,10.325,44.0,43.66666667,2019_31,4375.0,15828750.0,198.14311594999998,4,38.0
271,5469.0,5611.714286,22.73333333,154.4718913,321.175,4.15,29.5,19.075,9.65,45.25,45.5,2019_31,2605.0,9424890.0,117.98007247,4,39.0
280,6053.0,4701.777778,23.1875,203.0690362,324.6,3.425,30.5,17.75,9.325,46.25,46.5,2019_31,3010.0,10890180.0,136.32246377,5,40.0
285,6224.0,4818.8,24.2125,111.1117754,326.5,1.9,31.25,15.65,8.2,47.0,48.0,2019_31,3290.0,11903220.0,149.0036232,5,41.0
292,2500.0,4990.0,21.732,161.3299565,329.75,3.25,32.0,14.725,7.675,47.75,49.0,2019_31,4030.0,14580540.0,182.51811593000002,5,42.0
300,4214.0,4556.625,22.53043478,177.386971,335.925,6.175,32.25,14.725,7.9,48.0,49.5,2019_31,2375.0,8592750.0,107.5634058,5,43.0
21,503.0,737.1429,26.03333333,181.8875,24.525,0.0,6.25,19.25,9.575,0.0,0.0,2019_29,0.0,0.0,0.0,8,3.0
29,946.0,666.125,27.1125,196.7333333,36.65,12.125,7.25,24.775,12.95,0.0,0.0,2019_29,0.0,0.0,0.0,9,4.0
35,457.0,917.8333333,26.5125,166.3958333,48.925,12.275,6.75,25.9,12.9,9.0,0.0,2019_29,0.0,0.0,0.0,9,5.0
43,1550.0,1157.125,22.56666667,194.8208333,62.925,14.0,9.0,31.325,14.25,11.0,9.75,2019_29,0.0,0.0,0.0,9,6.0
49,1202.0,771.8333333,21.19166667,124.025,70.65,7.725,10.5,31.3,14.525,12.0,11.25,2019_29,0.0,0.0,0.0,9,7.0
56,4.0,797.5714286,22.97916667,163.4708333,80.9,10.25,12.0,28.65,13.85,14.0,12.5,2019_29,0.0,0.0,0.0,10,8.0
64,1410.0,910.5,22.5875,178.4375,92.7,11.8,14.0,25.675,12.75,16.0,15.0,2019_29,0.0,0.0,0.0,10,9.0
70,1287.0,1261.0,22.2625,134.4208333,103.325,10.625,15.5,23.25,12.25,17.0,16.25,2019_29,0.0,0.0,0.0,10,10.0
77,291.0,936.2857143,20.11666667,150.2541667,113.25,9.925,18.75,20.9,11.325,18.0,18.5,2019_29,0.0,0.0,0.0,10,11.0
84,1381.0,873.2857143,20.6,142.7,122.8,9.55,18.75,21.425,11.125,19.5,19.0,2019_29,0.0,0.0,0.0,10,12.0
91,1263.0,1052.142857,20.34166667,144.4625,130.6,7.8,19.25,21.65,11.25,20.66666667,20.0,2019_29,8155.0,13639936.0,242.21812999999997,11,13.0
98,282.0,1047.857143,18.39583333,138.1416667,137.35,6.75,21.5,20.025,10.825,22.0,21.66666667,2019_29,2675.0,9244064.0,79.452298919,11,14.0
105,1312.0,832.2857143,19.7375,135.9666667,143.475,6.125,21.75,20.4,10.925,23.33333333,22.33333333,2019_29,10925.0,35446261.0,324.49209928000005,11,15.0
114,1254.0,811.6666667,19.20833333,174.0666667,148.425,4.95,22.5,20.625,11.275,25.0,23.66666667,2019_29,4605.0,14004900.0,136.77676134,11,16.0
118,1033.0,776.25,19.37916667,75.2375,151.7,3.275,22.25,20.625,11.525,25.66666667,25.0,2019_29,50.0,137800.0,1.485089699,12,17.0
126,869.0,1029.5,19.55,155.4666667,154.8,3.1,23.25,20.725,11.4,26.66666667,25.0,2019_29,2425.0,7153336.0,72.026850418,12,18.0
132,371.0,916.3333333,18.37083333,115.6708333,159.975,5.175,18.5,19.1,10.9,26.0,25.75,2019_29,6905.0,19270652.0,205.09088749900002,12,19.0
141,68.0,713.1111111,17.3875,165.9916667,166.525,6.55,19.25,19.15,11.275,28.0,26.75,2019_29,4375.0,11354131.0,129.9453487,12,20.0
146,1245.0,661.2,19.2125,92.12499999,168.725,2.2,19.75,19.375,10.55,27.5,27.0,2019_29,1685.0,5091595.0,50.04752287,12,21.0
163,863.0,887.3529412,20.25,334.6083333,182.475,13.75,21.0,18.35,10.8,30.0,28.66666667,2019_29,480.0,1654199.0,14.256861114000001,1,23.0
168,4.0,870.4,17.27916667,98.08333333,186.125,3.65,21.25,19.775,11.0,31.33333333,29.5,2019_29,4465.0,23949804.0,132.618510188,1,24.0
176,820.0,387.5,18.65833333,144.9708333,190.275,4.15,21.25,19.875,11.375,30.75,30.75,2019_29,15940.0,90059011.0,473.44659616,1,25.0
183,1266.0,1172.0,20.9875,139.3541667,194.075,3.8,21.0,19.975,11.15,31.75,31.0,2019_29,4100.0,21590761.0,121.77735536,2,26.0
190,1322.0,1026.428571,21.025,147.3041667,201.175,7.1,20.0,19.6,10.65,32.75,33.33333333,2019_29,505.0,3370478.0,14.999405967999998,2,27.0
196,1470.0,1262.166667,22.34583333,129.7375,208.525,7.35,20.75,20.475,10.975,33.5,33.66666667,2019_29,2540.0,12815728.0,75.442556728,2,28.0
204,681.0,1112.0,18.9375,167.5083333,219.25,10.725,21.75,19.95,10.6,34.5,35.33333333,2019_29,4960.0,21909548.0,147.3208982,2,29.0
212,1603.0,969.875,22.12083333,161.1458333,227.5,8.25,23.25,19.25,10.875,36.0,33.5,2019_29,3360.0,12374933.0,99.798027799,3,30.0
218,1582.0,929.6666667,21.87083333,122.7875,234.875,7.375,24.0,18.4,10.775,36.75,35.25,2019_29,6375.0,23568613.0,189.34893667600002,3,31.0
225,1496.0,1567.857143,21.74583333,152.2666667,244.05,9.175,25.75,19.8,11.4,38.5,37.25,2019_29,1625.0,7169020.0,48.265415227000005,3,32.0
246,1742.0,1406.380952,21.30833333,445.775,266.05,22.0,27.5,21.075,11.175,40.75,39.75,2019_29,21070.0,93108878.0,625.816799286,4,35.0
251,1901.0,916.2,21.17916667,98.14166667,271.425,5.375,28.0,20.425,11.35,41.25,39.33333333,2019_29,4355.0,16372686.0,129.351312847,4,36.0
259,1904.0,1327.875,21.2375,163.6291667,276.2,4.775,29.0,21.575,11.175,42.25,41.5,2019_29,8330.0,26875514.0,247.41594394700002,4,37.0
265,1916.0,1535.166667,21.8125,127.7458333,283.35,7.15,30.0,22.65,11.875,43.25,42.0,2019_29,3690.0,11071381.0,109.599619819,4,38.0
274,2017.0,1473.222222,20.80833333,195.2541667,290.225,6.875,31.0,19.5,10.45,44.25,44.0,2019_29,1950.0,6165274.0,57.91849828,5,39.0
280,2024.0,1439.666667,21.20833333,124.6791667,296.05,5.825,31.75,20.525,11.15,45.0,44.75,2019_29,8125.0,25393429.0,241.327076127,5,40.0
287,1487.0,1126.571429,21.125,144.4875,300.775,4.725,32.5,20.05,10.925,45.75,44.75,2019_29,15195.0,37776638.0,451.318759667,5,41.0
294,1949.0,1394.142857,21.7625,148.3166667,304.325,3.55,33.25,19.125,10.425,46.5,46.0,2019_29,7745.0,17197361.0,230.040394434,5,42.0
302,1813.0,1689.75,24.44583333,178.1375,311.9,7.575,34.5,18.35,9.95,47.75,47.25,2019_29,8750.0,19224541.0,259.89069741000003,6,43.0
310,1116.0,1700.0,25.0,191.8458333,321.125,9.225,35.75,19.15,10.425,49.0,48.5,2019_29,6365.0,14076042.0,189.051918758,6,44.0
316,112.0,1157.666667,20.64583333,144.2791667,327.05,5.925,36.5,18.075,9.4,49.75,48.0,2019_29,840.0,1491336.0,24.949506946,6,45.0
323,124.0,1437.0,23.57916667,160.5625,333.1,6.05,37.5,18.0,9.475,50.75,49.0,2019_29,11650.0,25339969.0,346.025900005,6,46.0
330,1264.0,1039.142857,22.72916667,168.0166667,362.5,29.4,38.5,20.9,10.5,49.0,48.5,2019_29,9865.0,22248715.0,293.00819765,7,47.0
337,652.0,1018.0,23.5875,164.5833333,372.2,9.7,38.5,21.5,10.9,48.0,48.25,2019_29,5560.0,12007667.0,165.1419746,7,48.0
40,1051.0,982.7143,20.77083333,154.7375,45.91666667,0.0,8.333333333,,11.91666667,1.0,0.0,2020_24,0.0,0.0,0.0,9,6.0
46,1455.0,1116.833333,19.90416667,129.6458333,57.58333333,11.66666667,9.0,,13.25,1.5,1.0,2020_24,0.0,0.0,0.0,9,7.0
54,1536.0,1283.125,20.0125,167.1708333,70.13333333,12.55,11.0,,15.5,3.5,2.6,2020_24,0.0,0.0,0.0,10,8.0
61,1356.0,1092.285714,19.2875,138.0708333,81.83333333,11.7,12.0,,13.46666667,4.666666667,4.0,2020_24,0.0,0.0,0.0,10,9.0
68,1337.0,1125.428571,19.85,133.6708333,91.11666667,9.283333333,13.66666667,,12.0,6.333333333,5.5,2020_24,0.0,0.0,0.0,10,10.0
75,949.0,1117.714286,20.34166667,137.5875,97.2,6.083333333,14.5,,12.13333333,7.5,6.333333333,2020_24,0.0,0.0,0.0,10,11.0
83,1432.0,929.625,21.69583333,160.6208333,103.95,6.75,15.33333333,,11.2,8.666666667,7.833333333,2020_24,90.0,371006.0,2.647058824,11,12.0
89,1313.0,1052.833333,21.65833333,125.6041667,109.25,5.3,16.33333333,,9.95,9.666666667,9.166666667,2020_24,170.0,406148.0,5.0,11,13.0
96,628.0,1102.285714,20.25416667,147.5916667,117.5666667,8.316666667,17.5,,11.08333333,10.83333333,10.5,2020_24,80.0,138478.0,2.352941176,11,14.0
103,989.0,611.4285714,20.3625,137.775,122.15,4.583333333,18.33333333,,10.45,11.83333333,11.2,2020_24,125.0,183381.0,3.676470588,11,15.0
131,912.0,1003.535714,19.475,544.4833333,144.6166667,22.46666667,21.5,,11.05,15.16666667,15.33333333,2020_24,1575.0,3198982.0,46.323529409,12,19.0
138,534.0,809.7142857,18.79583333,134.3791667,152.0666667,7.45,22.5,,11.31666667,16.33333333,16.0,2020_24,85.0,265720.0,2.5,12,20.0
168,974.0,923.4333333,22.74166667,635.3208333,167.2333333,15.16666667,22.5,,10.8,18.16666667,20.0,2020_24,11565.0,44121715.0,340.14705882,1,24.0
175,1419.0,1099.857143,23.25833333,158.7375,177.75,10.51666667,23.0,,10.66666667,20.33333333,20.5,2020_24,6335.0,26668628.0,186.32352941000002,2,25.0
181,1292.0,1290.166667,21.7125,136.2333333,186.8166667,9.066666667,24.33333333,,10.85,22.0,21.4,2020_24,7935.0,34471547.0,233.38235292999997,2,26.0
189,1548.0,1092.25,21.90833333,170.5083333,197.0833333,10.26666667,22.83333333,,9.933333333,23.5,22.0,2020_24,465.0,1945479.0,13.67647059,2,27.0
196,318.0,1323.142857,19.17083333,153.05,205.3833333,8.3,23.33333333,,10.15,24.83333333,23.66666667,2020_24,8935.0,32899497.0,262.794117601,2,28.0
203,485.0,646.4285714,19.6625,138.6,207.6833333,2.3,22.83333333,,9.983333333,25.16666667,22.8,2020_24,2780.0,9830715.0,81.76470588,3,29.0
208,1226.0,904.8,21.6,102.0375,211.1666667,3.483333333,22.33333333,,10.31666667,25.83333333,25.2,2020_24,1075.0,3439486.0,31.61764706,3,30.0
217,1606.0,1259.333333,22.57083333,193.4333333,222.1833333,11.01666667,23.66666667,,10.36666667,27.16666667,26.33333333,2020_24,1000.0,3568958.0,29.411764702999996,3,31.0
224,1717.0,1301.285714,22.53333333,153.6333333,230.7833333,8.6,24.66666667,,10.2,28.16666667,27.5,2020_24,2040.0,6295491.0,59.999999997,3,32.0
229,1516.0,1347.6,22.37083333,110.6416667,236.85,6.066666667,25.33333333,,11.03333333,28.83333333,28.0,2020_24,1825.0,6240550.0,53.676470591,3,33.0
236,1577.0,1200.714286,21.87083333,152.05,245.4666667,8.616666667,27.0,,10.6,30.5,29.5,2020_24,19230.0,59233010.0,565.588235335,4,34.0
243,1609.0,1510.428571,21.64583333,153.0083333,252.85,7.383333333,28.0,,11.48333333,31.66666667,30.83333333,2020_24,3320.0,7657302.0,97.647058821,4,35.0
250,1726.0,1666.285714,21.88333333,153.6083333,261.3333333,8.483333333,29.0,,11.71666667,32.5,31.83333333,2020_24,5405.0,11043873.0,158.970588229,4,36.0
257,1327.0,1589.142857,21.57916667,155.3583333,270.5833333,9.25,30.0,,10.51666667,33.83333333,33.16666667,2020_24,4340.0,7542674.0,127.64705885900001,4,37.0
264,268.0,1599.428571,20.01666667,150.9375,278.0666667,7.483333333,30.83333333,,10.6,35.0,34.0,2020_24,2235.0,4192688.0,65.735294121,5,38.0
271,594.0,1374.428571,20.35833333,149.8375,287.0,8.933333333,32.0,,9.883333333,36.16666667,35.2,2020_24,5025.0,10094407.0,147.79411765,5,39.0
278,384.0,822.7142857,19.67916667,149.1958333,294.3833333,7.383333333,33.0,,10.23333333,37.16666667,36.5,2020_24,15290.0,25458794.0,449.70588231,5,40.0
285,1464.0,1195.142857,21.84583333,150.3583333,302.1166667,7.733333333,34.16666667,,9.65,38.5,37.83333333,2020_24,4125.0,5816153.0,121.32352942,5,41.0
294,92.0,1534.555556,21.0125,199.4333333,312.6666667,10.55,35.0,,9.9,39.83333333,39.5,2020_24,5632.5,8056124.0,165.661764753,6,42.0
301,1253.0,1597.857143,23.0375,161.2291667,322.45,9.783333333,35.83333333,,10.11666667,41.5,40.83333333,2020_24,6085.0,8088856.0,178.970588239,6,43.0
306,297.0,767.8,22.10833333,116.9,326.8833333,4.433333333,35.83333333,,10.45,42.5,41.5,2020_24,14445.0,23963612.0,424.852941147,6,44.0
313,1521.0,1183.285714,22.50416667,157.7625,332.9666667,6.083333333,35.16666667,,9.666666667,43.5,42.0,2020_24,3990.0,5296918.0,117.35294121,6,45.0
320,1171.0,1495.714286,23.79166667,161.8083333,340.8,7.833333333,33.33333333,,10.0,44.33333333,43.33333333,2020_24,6715.0,9820880.0,197.5,6,46.0
329,735.0,782.1111111,25.80416667,220.3875,351.7333333,10.93333333,31.16666667,,9.85,45.33333333,45.16666667,2020_24,3560.0,5065183.0,104.70588235299999,7,47.0
23,376.0,376.0,24.6115942,0.0,20.55,0.0,5.0,13.8,7.65,0.0,0.0,2019_33,0.0,0.0,0.0,8,3.0
30,518.0,1011.428571,23.52816901,170.9839982,30.65,10.1,7.5,20.775,11.2,0.0,0.0,2019_33,0.0,0.0,0.0,9,4.0
36,1467.0,1048.833333,27.59104478,156.215497,41.625,10.975,6.5,20.775,10.5,6.5,0.0,2019_33,0.0,0.0,0.0,9,5.0
45,2137.0,1622.888889,22.86176471,227.4852281,57.45,15.825,8.5,27.575,13.55,9.333333333,8.5,2019_33,0.0,0.0,0.0,9,6.0
50,787.0,1203.6,20.20869565,106.905811,65.3,7.85,10.0,29.35,13.675,10.0,9.5,2019_33,0.0,0.0,0.0,9,7.0
58,206.0,1283.125,22.33384615,182.549817,78.575,13.275,11.25,28.15,14.8,12.25,10.75,2019_33,0.0,0.0,0.0,10,8.0
64,417.0,848.8,19.55652174,138.4454872,89.9,11.325,12.25,27.85,13.1,13.25,10.5,2019_33,0.0,0.0,0.0,10,9.0
71,1588.0,1469.857143,21.07761194,147.0788934,101.75,11.85,13.25,27.525,11.85,14.5,14.0,2019_33,0.0,0.0,0.0,10,10.0
78,1338.0,1082.0,20.65671642,139.0904945,113.7,11.95,18.0,21.725,11.1,17.0,16.5,2019_33,0.0,0.0,0.0,10,11.0
85,1331.0,1114.285714,19.92575758,141.02524,122.65,8.95,19.5,19.6,10.55,18.0,17.5,2019_33,1984.6,7141614.0,78.75396825,10,12.0
92,772.0,1161.428571,19.31470588,140.9200354,133.725,11.075,20.25,21.3,11.225,18.66666667,18.66666667,2019_33,3510.7,11559795.0,139.31349206,11,13.0
99,728.0,996.5714286,18.484375,137.5758955,139.375,5.65,19.25,22.675,11.25,20.5,19.25,2019_33,2376.9,7372033.0,94.32142857,11,14.0
106,431.0,793.5714286,18.02647059,132.3565142,144.825,5.45,20.0,21.0,11.775,21.33333333,20.5,2019_33,1372.3000000000002,3782735.0,54.4563492,11,15.0
113,584.0,814.1428571,18.42238806,135.7672715,149.175,4.35,21.25,21.2,12.2,22.33333333,21.5,2019_33,850.8,2349518.0,33.76190476,11,16.0
121,854.0,613.125,19.35820896,150.1120311,152.925,3.75,13.25,20.7,11.275,23.33333333,22.25,2019_33,72.3,209794.0,2.869047619,12,17.0
128,686.0,844.4285714,20.39848485,138.1481004,157.2,4.275,14.75,19.625,11.325,24.0,23.0,2019_33,829.2,2218287.0,32.9047619,12,18.0
134,891.0,835.8333333,20.54788732,121.450021,163.4,6.2,14.5,19.725,11.1,24.33333333,24.0,2019_33,3726.1,8809420.0,147.86111111,12,19.0
141,969.0,750.3333333,20.42857143,139.9618415,170.525,7.125,15.75,19.65,10.975,25.33333333,24.33333333,2019_33,2486.1,6564820.0,98.65476191,12,20.0
148,726.0,763.1666667,19.69166667,138.9373492,174.15,3.625,16.5,18.85,10.625,25.75,24.66666667,2019_33,2021.5,5792201.0,80.21825397,12,21.0
164,1095.0,902.0625,20.9375,328.2581667,183.55,9.4,18.0,17.775,10.425,27.5,25.0,2019_33,1601.6,7494277.0,63.55555556,1,23.0
169,1085.0,832.2,21.144,103.4875,188.175,4.625,18.75,18.325,10.95,28.0,26.0,2019_33,87.7,450618.0,3.48015873,1,24.0
177,541.0,614.375,20.33333333,163.519,194.55,6.375,16.0,19.925,12.05,26.5,29.0,2019_33,852.3,4259017.0,33.821428569999995,1,25.0
184,1493.0,1115.142857,21.95416667,145.8036836,201.275,6.725,19.25,19.45,11.15,29.75,30.0,2019_33,703.0,3391482.0,27.8968254,2,26.0
190,1357.0,1423.0,21.71666667,128.6365,208.35,7.075,19.75,20.325,11.675,30.25,30.0,2019_33,0.0,0.0,0.0,2,27.0
197,1250.0,1174.0,19.6,145.932971,217.675,9.325,21.0,20.05,11.325,31.5,30.5,2019_33,3149.2,12406769.0,124.96825397,2,28.0
205,59.0,1740.571429,18.67083333,167.0541667,228.05,10.375,22.0,19.675,11.175,32.5,31.75,2019_33,3218.4,10621568.0,127.71428571,2,29.0
